89,91,104
560,564
561,572
2,3,57,58
91,89,115
3,2,14,51,57,60,158
562,573
10,290
563,576
14,3,57
178,156
290,10
19,63
163,57
564,560
565,574
215,58
100,57
32,51,57,60
566,115,575
567,571
568,569
569,568
104,89,115,575
144,148
44,159
342,170
148,144
51,3,32,57
169,65
170,342
57,2,3,14,163,100,32,51,58,60
58,2,215,57
60,3,32,57
63,19,112,65
112,63,65
570,355
65,169,63,112
67,360
571,567
115,91,566,104
572,561
156,178
573,562
353,361
574,565
355,570
158,3,357
357,158
575,566,104
360,67
159,44
576,563
361,353
