2,3,57
1650,1014
1848,706
1849,1471
3,2,51,57,60
4,46
390,178
1367,1372
178,390
17,67
730,277,62
19,45,48
1014,1650
297,57
277,730,286
337,354
220,145,146
185,150
1850,1852,1853
36,60
913,912
39,57
1851,1854
40,51
1852,1850,1853
41,68
145,220,146
44,47,70
146,220,145
1853,1850,1852
45,19,157
46,4
47,44,70
48,19,65,157
706,1848
396,400
51,3,40,57
912,913
428,430
57,2,3,297,39,51,60
430,428
60,3,36,57
150,185
62,730,68,70
1372,1367
65,48
67,17
68,41,62,70
70,44,47,62,68
1471,1849
157,45,48
354,337
1854,1851
400,396
286,277
