914,1874
2,3,57
313,537
3,2,14,51,57
4,30
1874,914
8,36
390,161,178,819,156
161,390,178,819,156
14,3,57
178,390,161,819,156
17,67,360
179,57
19,48,63
1050,1875
30,4,88
185,150
36,8,88
537,313
48,19,65
51,3,57
57,2,3,14,179,51
819,390,161,178,156
150,185
63,19,112,65
1875,1050
112,63,65
65,48,63,112
67,17,360
156,390,161,178,819
360,17,67
88,30,36
