2,3,57,58
855,861,801
3,2,51,57,60
4,30
804,801
364,45
594,131
856,497
17,67
19,45,48,63
292,48
857,870
680,858,683
858,680
137,819,156,687
859,862
215,58
30,4
860,865
131,594
861,855,801
862,859
683,680
36,60
39,57
863,867
497,856
864,868
40,51
801,855,804,861
45,364,19,63
48,19,292,65,869
51,3,40,57
57,2,3,39,51,58,60
58,2,215,57
819,137,156
60,3,36,57
63,19,45,112,65
112,63,65
65,48,63,112
67,17
865,860
866,525
156,137,819,687
867,863
741,256
868,864
869,48
256,741
870,857
687,137,156
525,866
