0,24,34
375,272
2,3,57,58
313,537,189
941,1778
124,396
3,2,14,51,57,60
390,178,1269
14,3,39,57
178,390
1673,1857
19,45,109
534,1855
1855,534
272,375
24,0
1124,830
215,58
218,1318
32,51,57,60
34,0
36,60,1057
537,313
1856,1864,1865
39,14,57
1857,1673
40,51
1858,1599
1859,1861
232,194
189,313,194
1860,1862
45,19,109,157
46,251
1599,1858
51,3,32,40,57
109,19,45,157
1269,390
1318,218,1321
57,2,3,14,32,39,51,58,60
58,2,215,57
60,3,32,36,57
1321,1318
1861,1859
830,1124
1057,36
251,46
157,45,109
1778,941
1862,1860
1863,1865
1864,1856
1865,1856,1863
194,232,189
