2,3,57,58
1950,1955
124,760,396
941,1957
3,2,14,51,57,60
1951,628
1753,308
14,3,57
809,233
1952,1958
162,29,1959,116,173
208,338
181,56
272,414
1953,1961
391,397
1954,1956
215,58
29,162,1959,116,173
216,243
1955,1950
219,472
628,1951
32,51,57,60
338,208
186,1959
40,51
393,396
231,159
414,272
233,809,116,159
472,219
189,194
760,984
381,308
1956,1954,1960
396,393
51,3,32,40,57
169,157
984,760
56,181
1957,941
308,1753,381,714
57,2,3,14,32,51,58,60
243,216
58,2,215,57
878,397
60,3,32,57
67,360
1958,1952
1959,162,29,186,116,173
397,391,878,1960
1880,714
157,169
116,162,29,233,1959,173
360,67
159,231,233
1960,1956,397
194,189
173,162,29,1959,116
714,308,1880
1961,1953
