493,1485
2,3,57
3,2,14,51,57,60,158
967,111
4,30
11,24,171
1482,1486
804,1019,801
135,67,1471
14,3,57
178,137,543
17,67,360
19,48,109,63
181,145,259
1483,1486
24,11,49
1484,1492
957,580,111
1485,493
137,178,543
1486,1482,1483
30,4,88
32,51,57,60
224,154
580,957
38,49
1487,1488
1488,1487,1491
40,51
1489,1490
1019,804,801
232,171,194
145,181
233,280,241,159
801,804,1019
1490,1489
1491,1488
189,171,194
280,233
48,19,157
49,24,38
241,233,159
51,3,32,40,57
109,19,63,157
111,967,957
171,11,232,189
57,2,3,14,32,51,60
60,3,32,57,88
1492,1484
543,178,137
451,1471
63,19,109,112
112,63
67,135,17,360
154,224
1471,135,451
125,118
157,48,109
604,1493
158,3,357
1493,604
88,30,60
1494,1495
118,125
357,158,359
359,357
360,17,67
159,233,241
259,181
260,194
194,232,189,260
1495,1494
