2,3,57,58
1596,1597
3,2,14,51,57,60,158
8,181
11,24,195
14,3,39,57
17,67
19,48,63
271,420,258
181,8
24,11,195
30,88
32,51,57,60
1597,1596
39,14,57
40,51
48,19,65
1598,1599,1077
1599,1598
51,3,32,40,57
57,2,3,14,32,39,51,58,60
58,2,57
1380,1600
60,3,32,57,88
1077,1598,1082
63,19,112,65
112,63,65
65,48,63,112
67,17
420,271,258
158,3,357
1082,1077
258,271,420
357,158
1600,1380
195,11,24
88,30,60
